timestamp,open,high,low,close,volume
11/12/2024,211.9,213.03,209.06,210.86,2757940
11/11/2024,214.4,215.41,213.48,213.57,3012987
11/8/2024,214.16,216.7,212.7809,213.72,3201038
11/7/2024,213.64,214.5199,211.93,213.69,3675812
11/6/2024,213.48,214.33,210.37,213.6,3934386
11/5/2024,206.17,208.115,205.57,207.57,2441535
11/4/2024,207.65,207.7,205.8,206.32,2594119
11/1/2024,207.77,209.84,207.41,208.25,3334308
10/31/2024,204.13,208.13,203.51,206.72,5925250
10/30/2024,209.48,211.12,204.26,204.9,6956624
10/29/2024,211.99,213.34,209.85,210.43,5258366
10/28/2024,215.5,216.25,212.7,212.91,4993343
10/25/2024,216.8,218.65,214.385,214.67,8482235
10/24/2024,220.8,221.32,216.16,218.39,11193440
10/23/2024,230.41,233.34,230.26,232.75,5791002
10/22/2024,231.99,232.97,230.67,232.25,3180807
10/21/2024,231.21,232.42,230.26,231.75,2733336
10/18/2024,231.92,232.6499,230.17,232.2,4715688
10/17/2024,232,233.145,230.655,232.88,5040092
10/16/2024,232.11,233.88,231.12,233.67,2846669
10/15/2024,236.4,237.37,232.71,232.96,3350556
10/14/2024,233.57,236.12,233.17,235.26,2524389
10/11/2024,233.25,233.44,230.46,233.26,3469322
10/10/2024,235.1,235.83,231.81,233.02,3142031
10/9/2024,229.2,234.95,228.5,234.3,5083566
10/8/2024,228.11,229.345,227.0401,228.62,3245342
10/7/2024,225.38,227.67,225.02,227.12,3457952
10/4/2024,223.75,226.08,223.27,226,3554328
10/3/2024,219.5,222.83,219.27,222.72,3788265
10/2/2024,218.31,220.2,215.798,219.73,3343399
10/1/2024,220.63,221.1,215.9,219.35,3548374
9/30/2024,220.65,221.32,219.02,221.08,3544264
9/27/2024,223,224.15,220.77,220.84,3830335
9/26/2024,222.11,224,221.355,223.43,2673210
9/25/2024,221.17,221.85,220.16,221.23,2537751
9/24/2024,219.78,221.19,218.16,220.97,3184114
9/23/2024,218,220.62,217.27,220.5,4074755
9/20/2024,214.33,217.85,213.74,217.7,9958980
9/19/2024,218.01,218.48,210.37,213.89,5279559
9/18/2024,214.13,216.86,213.59,214.94,3482764
9/17/2024,217.25,218.84,213,214.13,5635210
9/16/2024,215.88,217.9,215.52,217.16,4176257
9/13/2024,212.48,216.09,212.13,214.79,4572344
9/12/2024,210,212.65,208.265,211.61,4616446
9/11/2024,207.76,210.12,203.04,209.89,5554309
9/10/2024,204.2,205.83,202.87,205.32,3070644
9/9/2024,201.94,205.05,201.43,203.53,3705004
9/6/2024,202.38,204.1,199.335,200.74,3304491
9/5/2024,204.08,205.95,200.96,202.59,3229345
9/4/2024,200.76,204.36,200.5,204.11,3111332
9/3/2024,201.91,204.72,200.21,201.28,3874697
8/30/2024,199.11,202.17,198.73,202.13,4750999
8/29/2024,199.3,201.12,198.27,198.9,2989594
8/28/2024,199,200,197.49,198.46,2645244
8/27/2024,197.44,199.4,196.97,198.73,2617229
8/26/2024,196,198.345,195.9,197.98,2567217
8/23/2024,196.79,197.38,194.39,196.1,2321961
8/22/2024,197.25,197.92,195.57,195.96,1969496
8/21/2024,195.97,197.33,194.115,197.21,2579343
8/20/2024,194.59,196.21,193.75,196.03,1790371
8/19/2024,193.84,195.525,193.715,194.73,2361378
8/16/2024,193.58,194.35,192.86,193.78,2494472
8/15/2024,193.51,194.25,193.28,193.95,2471985
8/14/2024,191.15,193.09,190.73,192.32,1895114
8/13/2024,190.29,191.31,189.21,190.99,2178862
8/12/2024,191.25,191.5761,189.0001,189.48,2290421
8/9/2024,191.18,192.63,189.04,191.45,2773706
8/8/2024,187.5,192.88,187,192.61,3712698
8/7/2024,188.08,189.87,186.7,186.8,3801942
8/6/2024,184.7,188.9,183.64,186.8,3632517
8/5/2024,184.55,185.255,181.81,183.31,4975002
8/2/2024,188.78,189.26,185.7,189.12,4548824
8/1/2024,192.81,193.635,188.29,189.66,4085354
7/31/2024,191,194.5499,189.99,192.14,5558405
7/30/2024,191.48,192.77,189.09,191.04,3064978
7/29/2024,193.18,193.29,189.18,191.5,3336806
7/26/2024,190.51,193.57,189.622,191.75,4294875
7/25/2024,186.8,196.26,185.3,191.98,9532802
7/24/2024,184.14,185.0714,183.145,184.02,6962071
7/23/2024,184.36,185.38,183.01,184.1,2180225
7/22/2024,183.4,184.97,182.86,184.15,2488525
7/19/2024,186.33,187,181.95,183.25,3816039
7/18/2024,186.64,189.47,185.1,185.22,3487808
7/17/2024,185.44,187.94,185.07,187.45,4225302
7/16/2024,184.67,186.6,184.52,185.81,3374526
7/15/2024,183.38,184.9,182.6,182.88,2925794
7/12/2024,178.56,184.16,178.5,182.83,4785565
7/11/2024,177.65,179.44,176.62,178.31,2807145
7/10/2024,176.6,178.22,174.45,177.84,3462182
7/9/2024,177.6,177.7,175.58,176.48,2513305
7/8/2024,176.41,178.59,176.01,177.64,2503038
7/5/2024,175.74,176.09,173.95,176.02,2085970
7/3/2024,177.88,177.98,175.17,175.73,1649049
7/2/2024,174.84,177.485,174.32,177.3,2883275
7/1/2024,173.45,176.46,173.38,175.1,3320961
6/28/2024,170.85,173.46,170.53,172.95,4193459
6/27/2024,171.12,172.5,170.48,170.85,2894001
6/26/2024,171.28,172.68,170.41,171.87,2779016
6/25/2024,175.14,175.7526,171.42,172.6,4119267
6/24/2024,175,178.4599,174.15,175.01,4864735
